2023/01/06 19:00:09 [alert] 15252#8716: OpenEvent("ngx_master_18008") failed (2: FormatMessage() error:(15100))
2023/01/31 22:37:51 [error] 16572#7960: *7303 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:51 [error] 16572#7960: *7301 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:51 [error] 16572#7960: *7301 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:51 [error] 16572#7960: *7305 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:51 [error] 16572#7960: *7305 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:51 [error] 16572#7960: *7303 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:52 [error] 16572#7960: *7308 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/users/me?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:52 [error] 16572#7960: *7309 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=edit&per_page=100&exclude=44&parent_exclude=44&orderby=menu_order&order=asc&_fields=id%2Ctitle%2Cparent&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:56 [error] 16572#7960: *7310 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/users/me?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:57 [error] 16572#7960: *7311 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/users/me?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:57 [error] 16572#7960: *7312 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:57 [error] 16572#7960: *7313 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages/44?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:37:58 [error] 16572#7960: *7314 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/users/me?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:38:00 [error] 16572#7960: *7315 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/post-new.php?post_type=page"
2023/01/31 22:38:01 [error] 16572#7960: *7316 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "progrim.local", referrer: "http://progrim.local/wp-admin/edit.php?post_type=page"
